Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=MFG~String~MFG~100|Field=MFG_PN~String~MFG_PN~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Unit Price~String~Unit Price~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Softcore_SA_P2_HW.PrjPcb|ReportField=ProjectFullPath~C:\IMR_Projects\IMR\Softcore_SA_P2\Hardware\Softcore_SA_P2_HW\Softcore_SA_P2_HW.PrjPcb|ReportField=Title~BOM_PartType For Project [Softcore_SA_P2_HW.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~190|ReportField=ReportTime~7:34:41 AM|ReportField=ReportDate~5/9/2026|ReportField=ReportDateTime~5/9/2026 7:34:41 AM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProjectDate~05/11/2026|ReportField=ProjectDocumentNumber~IMR-107-SCH|ReportField=ProjectRevision~1|ReportField=ProjectTime~08:00|ReportField=ProjectTitle~SoftCore_SA P2 Adapter|ReportField=Address1~3621 Gin Way|ReportField=Address2~Snellville GA, 30039|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~05/11/2026|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~IMR-107-SCH|ReportField=DrawnBy~|ReportField=Engineer~Hab S Collector|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~SoftCore_SA P2 Adapter|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Softcore_SA_P2_HW.PrjPcb|ReportField=DataSourceFullPath~C:\IMR_Projects\IMR\Softcore_SA_P2\Hardware\Softcore_SA_P2_HW\Softcore_SA_P2_HW.PrjPcb
RC0805FR-0784K5L|RES SMD 84.5K OHM 1% 1/8W 0805|R68|RES_SMD_84.5K_0805_1/8W_1%|Yageo|RC0805FR-0784K5L|1|DigiKey|311-84.5KCRCT-ND|.1
RC0805FR-0716KL|RES SMD 16K OHM 1% 1/8W 0805|R70|RES_SMD_16K_0805_1/8W_1%|Yageo|RC0805FR-0716KL|1|DigiKey|311-16.0KCRCT-ND|.1
RC0805FR-0773K2L|RES SMD 73.2K OHM 1% 1/8W 0805|R71|RES_SMD_73.2K_0805_1/8W_1%|Yageo|RC0805FR-0773K2L|1|DigiKey|311-73.2KCRCT-ND|.1
RC0805FR-0726K7L|RES SMD 26.7K OHM 1% 1/8W 0805|R73|RES_SMD_26.7K_0805_1/8W_1%|Yageo|RC0805FR-0726K7L|1|DigiKey|311-26.7KCRCT-ND|.1
311-33.0CRCT-ND|RES SMD 33K OHM 1% 1/8W 0805|R74|RES_SMD_33_0805_1/8W_1%|Yageo|311-33.0CRCT-ND|1|DigiKey|311-33.0CRCT-ND|.1
RC0805FR-7W1ML|RES SMD 1K OHM 1% 1/4W 0805|R75|RES_SMD_1M_0805_1/4W_1%|Yageo|RC0805FR-7W1ML|1|DigiKey|13-RC0805FR-7W1MLCT-ND|.10
HE721C0500|RELAY REED SPDT 250MA 5V|REL1|RELAY_HE721C0500|Littlefuse|HE721C0500|1|DigiKey|HE112-ND|3.77
TBD|CONN SPEAKER HEADER GENERIC VERT 2POS 2.54MM|SPK1|CONN_SPKR_HEADER_2P_100MIL|GENERIC|TBD|1|Digi-Key|TBD|1.00
PEC12R-4222F-S0024|ENCODER INCRE QUAD HORIZN PC PIN|SW1|SWITCH_PEC12R-4222F-S0024|Bourns|PEC12R-4222F-S0024|1|DigiKey|PEC12R-4222F-S0024-ND|1.72
EVQ-Q2U02W|SWITCH TACTILE SPST-NO 0.02A 15V|SW2, SW3, SW4, SW5, SW6|SWITCH_EVQ-Q2U02W|American Zettler|EVQ-Q2U02W|5|DigiKey|P12954SCT-ND|.25
SLW-12689-4A-N-D|SWITCH SLIDE SPDT 300MA 50V|SW7|SWITCH_SLW-12689-4A-N-D|Same Sky|SLW-12689-4A-N-D|1|DigiKey|2223-SLW-12689-4A-N-D-ND|.48
S1751-46R|PCB TEST POINT CONNECT|TP4, TP5, TP7, TP11, TP13, TP14|CONN_TEST_POINT_S1751-46R|Harwin Inc|S1751-46R|6|Digi-Key|952-1478-1-ND|.28
MCP23S08T-E/SO|IC IO XPNDR 10MHZ SPI 18SOIC|U1, U2|IC_MCP23S08T-E/SO|Microchip|MCP23S08T-E/SO|2|DigiKey|MCP23S08T-E/SOCT-ND|1.54
SSD1309_128X64_2.42"|DISPLAY 128X64 SSD1309 2.42" OLED WHITE|U3|MODULE_DISPLAY_128X64_2.42|UNKNOWN|SSD1309_128X64_2.42"|1|Amazon|SSD1309 2.42"|16.99
LTC2315CTS8-12#TRMPBF|IC ADC 12BIT SAR TSOT23-8|U4, U6|IC_LTC2315CTS8-12#TRMPBF|Analog Devices|LTC2315CTS8-12#TRMPBF|2|DigiKey|LTC2315CTS8-12#TRMPBFCT-ND|15.34
LT1819CS8#TRPBF|IC OPAMP GBP 400MHz CIRCUIT 8SOIC|U5|IC_OPAMP_LT1819CS8#TRPBF|Analog Devices|LT1819CS8#TRPBF|1|DigiKey|LT1819CS8#TRPBFCT-ND|5.94
TLV9351IDCKR|IC OPAMP GP 3.5MHZ 350uV C70-5|U7|IC_OPAMP_TLV9351IDCKR|Texas Instruments|TLV9351IDCKR|1|DigiKey|296-TLV9351IDCKRCT-ND|.49
ADA4897-1ARZ|IC OPAMP GP 230MHZ 28uV 8SOIC|U8|IC_OPAMP_ADA4897-1ARZ|Analog Devices|ADA4897-1ARZ|1|DigiKey|505-ADA4897-1ARZ-ND|6.30
LM4041CYM3-ADJ-TR|IC VREF SHUNT ADJ 0.5% SOT23-3|U9|IC_LM4041CYM3-ADJ-TR|Microchip|LM4041CYM3-ADJ-TR|1|DigiKey|576-1049-1-ND|.39
AD9833BRMZ|IC DDS 25MHZ 10BIT 10MSOP|U10|IC_AD9833BRMZ|Analog Devices|AD9833BRMZ|1|DigiKey|505-AD9833BRMZ-ND|15.19
LM4990MMX/NOPB|IC AMP CLASS AB MONO 2W 8VSSOP|U11|IC_LM4990MMX/NOPB|Texas Instruments|LM4990MMX/NOPB|1|DigiKey|296-37579-1-ND|.45
TLV9302IDR|IC OPAMP GP 2 CIRCUIT 8SOIC|U12|IC_OPAMP_TLV9302IDR|Texas Instruments|TLV9302IDR|1|DigiKey|296-53513-1-ND|.66
TPS552892RYQR|IC REG BUCK ADJ 1A 16HTSSOP|U13|IC_SMPS_TPS552892RYQR|Texas Instruments|TPS552892RYQR|1|DigiKey|296-TPS552892RYQRCT-ND|6.42
AZ1117CH-ADJTRG1|IC REG BUCK ADJ 2A SOT23|U14|IC_REG_AZ1117CH-ADJTRG1|Diodes Incorporated|AZ1117CH-ADJTRG1|1|DigiKey|AZ1117CH-ADJTRG1DICT-ND|.2
MCP65R41T-1202E/CHY|IC COMPARATOR 1 W/VOLT REF SOT23|U15, U16|IC_COMPARATOR_MCP65R41T-1202E/CHY|Microchip Technology|MCP65R41T-1202E/CHY|2|DigiKey|MCP65R41T-1202E/CHYCT-ND|.53
